province,weight,gender,abortion,importance,education,location
BC,4287.85,Female,No,somewhat,somePS,urban
QC,9230.78,Male,No,not,bachelors,urban
QC,6153.85,Male,Yes,somewhat,college,urban
NL,3430,Female,No,very,somePS,urban
ON,8977.61,Male,No,not,higher,rural
ON,8977.61,Female,No,not,higher,urban
NL,3430,Female,Yes,very,lessHS,rural
NL,1715,Female,Yes,notvery,college,urban
NL,1715,Male,No,very,college,urban
NL,3430,Male,Yes,very,lessHS,rural
NL,3430,Female,No,somewhat,somePS,urban
NL,3430,Male,No,somewhat,HS,urban
NL,3430,Male,No,somewhat,HS,urban
NL,1715,Female,No,somewhat,lessHS,urban
NL,3430,Male,No,very,bachelors,urban
NL,3430,Female,No,not,bachelors,rural
NL,3430,Female,Yes,very,lessHS,rural
NL,3430,Male,Yes,very,lessHS,urban
NL,3430,Female,No,very,somePS,rural
NL,3430,Male,No,not,bachelors,urban
NL,3430,Male,No,somewhat,bachelors,urban
NL,3430,Female,No,somewhat,somePS,rural
NL,1715,Female,No,somewhat,bachelors,urban
NL,3430,Male,No,somewhat,higher,urban
NL,3430,Male,No,somewhat,bachelors,rural
NL,3430,Male,No,somewhat,college,rural
NL,6860,Female,No,somewhat,somePS,urban
NL,1715,Female,No,very,bachelors,urban
NL,3430,Male,No,notvery,bachelors,urban
NL,3430,Female,No,somewhat,bachelors,urban
NL,3430,Female,Yes,somewhat,higher,urban
NL,5145,Female,No,notvery,college,urban
NL,3430,Female,No,very,college,rural
NL,3430,Male,Yes,very,HS,urban
NL,3430,Male,Yes,somewhat,lessHS,rural
NL,5145,Male,No,somewhat,lessHS,urban
NL,3430,Female,No,somewhat,bachelors,urban
NL,3430,Male,No,not,college,rural
NL,3430,Male,Yes,very,lessHS,urban
NL,1715,Male,No,not,somePS,urban
NL,1715,Female,No,very,lessHS,rural
NL,3430,Female,No,somewhat,college,urban
NL,3430,Male,No,somewhat,college,urban
NL,3430,Female,Yes,very,college,rural
NL,5145,Male,Yes,very,HS,rural
NL,3430,Female,Yes,somewhat,somePS,urban
NL,3430,Female,No,not,college,urban
NL,3430,Male,Yes,very,lessHS,rural
NL,5145,Female,No,somewhat,college,rural
NL,3430,Male,Yes,very,lessHS,rural
NL,3430,Female,No,somewhat,lessHS,rural
NL,3430,Female,No,very,bachelors,rural
NL,5145,Female,No,somewhat,HS,rural
NL,6860,Male,No,not,college,urban
NL,3430,Female,Yes,very,college,rural
NL,3430,Female,No,somewhat,lessHS,urban
NL,3430,Female,No,very,lessHS,rural
NL,3430,Female,No,somewhat,somePS,urban
NL,3430,Male,No,somewhat,bachelors,urban
NL,1715,Male,Yes,somewhat,higher,rural
NL,3430,Female,No,somewhat,HS,rural
NL,3430,Female,No,very,college,rural
NL,3430,Male,No,somewhat,bachelors,urban
NL,1715,Male,No,not,college,urban
NL,1715,Female,Yes,somewhat,lessHS,urban
NL,5145,Male,Yes,very,higher,rural
NL,3430,Male,Yes,very,bachelors,rural
PE,435.31,Male,No,not,HS,rural
PE,870.62,Female,No,somewhat,college,urban
PE,435.31,Female,No,very,college,rural
PE,1305.93,Female,Yes,very,somePS,rural
PE,435.31,Female,Yes,very,college,rural
PE,870.62,Female,No,somewhat,bachelors,urban
PE,435.31,Male,No,notvery,lessHS,rural
PE,435.31,Male,Yes,somewhat,lessHS,urban
PE,435.31,Male,Yes,very,bachelors,urban
PE,1305.93,Female,No,somewhat,HS,urban
PE,870.62,Male,No,notvery,college,rural
PE,870.62,Male,No,very,HS,rural
PE,1305.93,Male,Yes,not,HS,urban
PE,870.62,Male,No,somewhat,HS,rural
PE,435.31,Female,Yes,very,somePS,rural
PE,435.31,Male,No,very,lessHS,urban
PE,1741.23,Female,No,notvery,lessHS,rural
PE,870.62,Male,No,somewhat,higher,rural
PE,870.62,Female,Yes,very,HS,urban
PE,870.62,Male,No,somewhat,higher,rural
PE,870.62,Female,Yes,very,lessHS,rural
PE,435.31,Female,No,somewhat,bachelors,rural
PE,1741.23,Female,Yes,very,college,rural
PE,870.62,Female,No,somewhat,college,rural
PE,435.31,Female,No,somewhat,college,urban
PE,870.62,Male,No,somewhat,lessHS,rural
PE,870.62,Female,Yes,very,HS,rural
PE,870.62,Male,No,somewhat,bachelors,rural
PE,870.62,Female,Yes,very,college,rural
PE,870.62,Female,Yes,very,HS,rural
PE,435.31,Male,No,very,bachelors,rural
PE,435.31,Female,Yes,very,college,urban
PE,870.62,Female,No,very,somePS,rural
PE,870.62,Female,No,very,bachelors,urban
PE,1305.93,Female,Yes,very,lessHS,rural
PE,435.31,Female,Yes,somewhat,HS,rural
PE,435.31,Male,Yes,very,lessHS,urban
PE,1305.93,Male,Yes,very,HS,rural
PE,870.62,Male,Yes,somewhat,HS,rural
